filename,category,description,permalink
NTM_NTM%20UWP%2008823.jpg,Norsk Teknisk Museum,"Wergelandsgrotten, sett fra Wegelandsveien med tilskuere",http://oslobilder.no/NTM/NTM%20UWP%2008823
NF_NF.10595-003.jpg,Norsk Folkemuseum,"Torvet 13b, Oslo. Lav bygård med butikker.",http://oslobilder.no/NF/NF.10595-003
NF_NF.01065-175.jpg,Norsk Folkemuseum,Diverse forsøk (10 fotografier) med fotografering gjennom mikroskop og fotografering av plansjer.,http://oslobilder.no/NF/NF.01065-175
OMU_JWC.522.jpg,Oslo Museum,10 forskjellige tegninger *,http://oslobilder.no/OMU/JWC.522
OMU_JWC.523.jpg,Oslo Museum,9 naturskildringer,http://oslobilder.no/OMU/JWC.523
OMU_JWC.524.jpg,Oslo Museum,7 forskjellige tegninger,http://oslobilder.no/OMU/JWC.524
OMU_JWC.510.jpg,Oslo Museum,8 motiver fra Kristiania,http://oslobilder.no/OMU/JWC.510
NF_NF.01065-348.jpg,Norsk Folkemuseum,"Frk. Erna Smith og frk. Eugenie Faye Hansen i bygate på bilde (1). Frk. Lilly Rieck og frk.Langaard på  Karl Johans gate, Oslo på bilde (2).",http://oslobilder.no/NF/NF.01065-348
NF_NF.05271-045.jpg,Norsk Folkemuseum,"Hovedøya, Oslo. 1910. Sommermotiv. Fest. Kvinner og menn festkledd. Telt. Flagg. Bebyggelse.",http://oslobilder.no/NF/NF.05271-045
NF_NF.05271-048.jpg,Norsk Folkemuseum,"Hovedøya, Oslo. 1910. Sommermotiv. Fest. Festkledde kvinner. Telt. Flagg.",http://oslobilder.no/NF/NF.05271-048
NF_NF.01065-424.jpg,Norsk Folkemuseum,"Frk. Thora Christoffersenn og frk. Ragnhild Welhaven og spaserer langs Karl Johans gate, Oslo.",http://oslobilder.no/NF/NF.01065-424
OMU_OB.Y1239.jpg,Oslo Museum,Utsikt fra Victoria terrasse,http://oslobilder.no/OMU/OB.Y1239
OMU_OB.Y1238.jpg,Oslo Museum,Utsikt fra Victoria terrasse,http://oslobilder.no/OMU/OB.Y1238
NF_NF.21435-069.jpg,Norsk Folkemuseum,"Stereoskopi. Karl Johans gate, Oslo  med folkeliv og trikker. Slottet i bakgrunnen.",http://oslobilder.no/NF/NF.21435-069
OMU_OB.F12277c.jpg,Oslo Museum,Kristiania. Uranienborg Terasse.,http://oslobilder.no/OMU/OB.F12277c
NTM_NTM%20UWP%2009104.jpg,Norsk Teknisk Museum,"Det Kongelige Slott, interiør, Biblioteket",http://oslobilder.no/NTM/NTM%20UWP%2009104
OMU_OB.02991.jpg,Oslo Museum,"""Grotten"", Efter et Billede fra 50-årene af Harald Schøyen",http://oslobilder.no/OMU/OB.02991
OMU_OB.01365.jpg,Oslo Museum,Christiania sett fra Bygdøy,http://oslobilder.no/OMU/OB.01365
NTM_NTM%20WP%2000466.jpg,Norsk Teknisk Museum,"Sandakerveien, interiør i salen",http://oslobilder.no/NTM/NTM%20WP%2000466
NF_NF.21437-006.jpg,Norsk Folkemuseum,"Stereoskopi. Karl Johans gate med Slottet, Oslo, 1864. To gutter poserer i forgrunnen.",http://oslobilder.no/NF/NF.21437-006
